year,quarter,z_sentiment,unemployment,dpi,ppchg_gdp,ppchg_cpi,ppchg_stock_close,yhat,residuals
1988.0,1.0,-0.013266360949794187,5.7,3.9,7.437619595794809,3.965116279069769,-8.893436925290743,0.14052274345571256,-0.15378910440550675
1988.0,2.0,0.18071263823708347,5.5,6.2,7.9871664696972156,3.979941096871764,-12.15257313810877,0.10041844190029842,0.08029419633678506
1988.0,3.0,0.45407186680938466,5.5,5.4,8.153864579270786,4.142053261221523,-19.10345535957575,0.05519688308531998,0.39887498372406466
1988.0,4.0,-0.03659952229096959,5.3,4.8,7.817800899921212,4.3066598458377126,5.217180933247101,0.700267037795836,-0.7368665600868056
1989.0,1.0,0.4884372908883972,5.2,4.3,8.630965756108555,4.675092271557979,14.041001610428495,0.3504216634435626,0.1380156274448346
1989.0,2.0,0.052203905864962145,5.2,2.7,8.139192098089488,5.1596111153640045,18.872273254894,0.7023470760419641,-0.650143170177002
1989.0,3.0,0.035488411715462034,5.2,2.4,7.808875348179534,4.705882352941182,27.49040178150002,0.29383126188532893,-0.2583428501698669
1989.0,4.0,0.1965016471937092,5.4,2.3,6.439992969731145,4.627597672485462,26.115764836579313,0.08721201059189143,0.10928963660181776
1990.0,1.0,0.23578189248088885,5.3,2.0,6.558363406651813,5.232314432015239,17.319722924127245,0.027973145774583874,0.20780874670630498
1990.0,2.0,0.001785069997231357,5.3,3.1,6.192735702667451,4.583727645531543,15.227860089642187,0.15881823645381404,-0.1570331664565827
1990.0,3.0,-0.8532736067243497,5.7,2.4,5.614231923678292,5.564205457463878,2.9494497685687016,-0.3677095730541528,-0.4855640336701969
1990.0,4.0,-1.369577521907289,6.1,0.7,4.480344207138143,6.276466428849492,-5.973157796328121,-0.9778733607389183,-0.3917041611683707
1991.0,1.0,-1.590192363595992,6.6,0.3,2.766648600022381,5.259581514140899,4.330884479774055,-1.0864528334896488,-0.5037395301063432
1991.0,2.0,-0.6229968903051277,6.8,0.3,2.7992150372447844,4.846867749419959,4.982200719134511,-1.353411475395212,0.7304145850900843
1991.0,3.0,-0.24796963146475545,6.9,0.6,3.1723577733164143,3.852265211011696,9.954272804209086,-0.5058652157610043,0.2578955842962488
1991.0,4.0,-0.626199795355211,7.1,2.2,4.3267036186288355,2.964856803247451,18.309826230264715,-0.1596508194324694,-0.4665489759227416
1992.0,1.0,0.2042037359318719,7.4,3.9,5.433543136590169,2.893883517478324,16.563592925140803,-0.21500968843337104,0.41921342436524295
1992.0,2.0,0.04117530077680826,7.6,4.1,5.613003850910947,3.073019245096509,13.456621716665062,0.2582681327696033,-0.21709283199279505
1992.0,3.0,-0.15698414337912034,7.6,4.1,5.812240762353849,3.0746705710102518,10.431856579614983,-0.17861999958157476,0.021635856202454423
1992.0,4.0,0.2627286183071584,7.4,3.8,6.644749654404003,3.1219823862109974,8.626151873498177,0.03661436966622509,0.2261142486409333
